,date,price,description,location,bedrooms,bathrooms,land,floor
639,03/07/2024,"Rp2,2 Miliar","Rumah Jl. H. Suit Semper Barat, Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",2,1,130 m²,130 m²
640,03/07/2024,"Rp1,5 Miliar","Rumah Jl. Kalibaru Timur Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",9,4,200 m²,225 m²
641,03/07/2024,"Rp2,1 Miliar","Rumah Gading Indah Utara Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,1,90 m²,1 m²
642,03/07/2024,"Rp6,5 Miliar","Rumah Grand Orchard Ebony Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,3,208 m²,230 m²
643,03/07/2024,Rp8 Miliar,"Rumah Sumagung Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",10,4,161 m²,322 m²
644,03/07/2024,Rp10 Miliar,Dijual Rumah Klasik di Komplek Gudang Peluru Tebet,"Tebet, Jakarta Selatan",8,6,432 m²,626 m²
645,03/07/2024,"Rp6,75 Miliar","Rumah Gading Kirana Barat Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",4,4,187 m²,170 m²
646,03/07/2024,"Rp1,85 Miliar","Rumah Jl. Swasembada Timur Tanjung Priok, Jakarta Utara","Tanjung Priok, Jakarta Utara",3,2,120 m²,180 m²
647,03/07/2024,"Rp1,49 Miliar","Rumah Jl. Salak Barat Tanjung Duren, Grogol Petamburan, Jakarta Barat","Grogol Petamburan, Jakarta Barat",3,4,40 m²,65 m²
648,03/07/2024,"Rp2,95 Miliar","Rumah Jl Gading Indah Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,90 m²,180 m²
649,03/07/2024,"Rp4,5 Miliar","Rumah Jl Merah Jambu Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",10,7,224 m²,288 m²
650,03/07/2024,"Rp1,35 Miliar",BRAND NEW TANJUNG DUREN 2.5 LT HARGA 825 JUTA,"Grogol Petamburan, Jakarta Barat",2,2,44 m²,110 m²
651,03/07/2024,"Rp2,45 Miliar","Rumah Jl. Bellyra Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",3,3,90 m²,225 m²
652,03/07/2024,"Rp2,7 Miliar","Rumah Jl. Waru Tugu Utara, Koja, Jakarta Utara","Koja, Jakarta Utara",8,4,160 m²,330 m²
653,03/07/2024,"Rp1,4 Miliar","Rumah Grand Malaka Rorotan, Cilincing, Jakarta Utara","Cilincing, Jakarta Utara",4,5,149 m²,230 m²
654,03/07/2024,"Rp5,3 Miliar","Rumah Kelapa Hijau Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,4,230 m²,138 m²
655,03/07/2024,"Rp13,5 Juta",Dijual Rumah dan Tanah tanah luas di Lebak Bulus,"Cilandak, Jakarta Selatan",4,4,1100 m²,400 m²
656,03/07/2024,"Rp3,6 Miliar","Rumah Kelapa Nias Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",5,5,102 m²,360 m²
657,03/07/2024,"Rp1,34 Miliar",STRATEGIS DIJUAL RUMAH LUAS 80 DI CIRACAS JAKARTA TIMUR,"Ciracas, Jakarta Timur",3,3,80 m²,130 m²
658,03/07/2024,"Rp1,35 Miliar",MURAH DIJUAL RUMAH LUAS 80 DI CIRACAS JAKARTA TIMUR,"Ciracas, Jakarta Timur",3,3,80 m²,130 m²
659,03/07/2024,"Rp1,25 Miliar",DIJUAL RUMAH LUAS 80 DI CIRACAS JAKARTA TIMUR,"Ciracas, Jakarta Timur",3,3,80 m²,130 m²
660,03/07/2024,Rp2 Miliar,"Rumah Jl. Anggrek Cengkareng, Jakarta Barat","Cengkareng, Jakarta Barat",4,3,93 m²,165 m²
661,03/07/2024,"Rp5,5 Miliar","Kost Jl. Tanjung Duren Timur, Grogol Petamburan, Jakarta Barat","Grogol Petamburan, Jakarta Barat",10,10,91 m²,275 m²
662,03/07/2024,Rp3 Miliar,"Rumah Jl. Taruna Jaya Serdang, Kemayoran, Jakarta Pusat","Kemayoran, Jakarta Pusat",5,3,660 m²,166 m²
663,03/07/2024,"Rp4,8 Miliar","Rumah Jl. Gadang Tanjung Priok, Jakarta Utara","Tanjung Priok, Jakarta Utara",4,2,190 m²,363 m²
664,03/07/2024,"Rp8,3 Miliar","Kost Lebak Bulus Kebayoran Lama, Jakarta Selatan","Cilandak, Jakarta Selatan",10,10,212 m²,425 m²
665,03/07/2024,"Rp6,2 Miliar","Kost Jl. Hemat, Jelambar, Grogol Petamburan, Jakarta Barat","Grogol Petamburan, Jakarta Barat",10,10,132 m²,402 m²
666,03/07/2024,"Rp4,5 Miliar","Rumah Jl. Komp. Lemigas Kebayoran Lama, Jakarta Selatan","Kebayoran Lama, Jakarta Selatan",4,2,299 m²,200 m²
